"customerID","companyName","country","recency_days","frequency_orders","monetary_value","R_score","F_score","M_score","segment"
QUEDE,Que Del�cia,Brazil,36.0,9,6664.81,4,2,3,Potential Loyalists
QUEEN,Queen Cozinha,Brazil,2.0,13,25717.5,5,3,5,Potential Loyalists
QUICK,QUICK-Stop,Germany,22.0,28,110277.3,5,5,5,Champions
RANCH,Rancho grande,Argentina,23.0,5,2844.1,5,2,2,New Customers
RATTC,Rattlesnake Canyon Grocery,USA,0.0,18,51097.8,5,4,5,Champions
REGGC,Reggiani Caseifici,Italy,6.0,12,7048.24,5,3,3,Potential Loyalists
RICAR,Ricardo Adocicados,Brazil,7.0,11,12450.8,5,3,4,Potential Loyalists
RICSU,Richter Supermarkt,Switzerland,0.0,10,19343.78,5,3,4,Potential Loyalists
ROMEY,Romero y tomillo,Spain,27.0,5,1467.29,5,2,1,New Customers
SANTG,Sant� Gourmet,Norway,26.0,6,5735.15,5,2,3,Potential Loyalists
SAVEA,Save-a-lot Markets,USA,5.0,31,104361.95,5,5,5,Champions
SEVES,Seven Seas Imports,UK,91.0,9,16215.32,2,2,4,About To Sleep
SIMOB,Simons bistro,Denmark,0.0,7,16817.1,5,2,4,Potential Loyalists
SPECD,Sp�cialit�s du monde,France,14.0,4,2423.35,5,1,2,New Customers
SPLIR,Split Rail Beer & Ale,USA,42.0,9,11441.63,4,2,4,Potential Loyalists
SUPRD,Supr�mes d�lices,Belgium,15.0,12,24088.78,5,3,5,Potential Loyalists
THEBI,The Big Cheese,USA,35.0,4,3361.0,4,1,2,New Customers
THECR,The Cracker Box,USA,30.0,3,1947.24,5,1,1,New Customers
TOMSP,Toms Spezialit�ten,Germany,44.0,6,4778.14,4,2,2,New Customers
TORTU,Tortuga Restaurante,Mexico,2.0,10,10812.15,5,3,4,Potential Loyalists
TRADH,Tradi��o Hipermercados,Brazil,107.0,6,6850.66,2,2,3,About To Sleep
TRAIH,Trail's Head Gourmet Provisioners,USA,118.0,3,1571.2,2,1,1,About To Sleep
VAFFE,Vaffeljernet,Denmark,34.0,11,15843.92,4,3,4,Potential Loyalists
VICTE,Victuailles en stock,France,103.0,10,9182.43,2,3,3,Need Attention
VINET,Vins et alcools Chevalier,France,175.0,5,1480.0,2,2,1,About To Sleep
WANDK,Die Wandernde Kuh,Germany,13.0,10,9588.42,5,3,3,Potential Loyalists
WARTH,Wartian Herkku,Finland,21.0,15,15648.7,5,4,4,Champions
WELLI,Wellington Importadora,Brazil,58.0,9,6068.2,4,2,3,Potential Loyalists
WHITC,White Clover Markets,USA,5.0,14,27363.6,5,3,5,Potential Loyalists
WILMK,Wilman Kala,Finland,29.0,7,3161.35,5,2,2,New Customers
WOLZA,Wolski  Zajazd,Poland,13.0,7,3531.95,5,2,2,New Customers
